Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua and Barbuda,ATG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,2.195200999,1.403124068,1.245061237,,0.604581269,1.753920285,,,2.58515502,,,,,,,,,,,,,,,,,,2.740657417,2.419439233,,,,,1.71110357,1.795393828,2.39306645,,1.154538155,1.168453979,1.213647581,1.860064793,1.684282054,1.353170005,1.89353395,1.759551018,1.544598264,2.282097081,1.955589867,,
Australia,AUS,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,6.314857784,6.361579361,5.189557604,4.539279251,4.435498061,4.217653953,4.380940986,4.265745736,4.080037133,4.362862065,5.394744498,4.195488512,2.961299477,3.623125502,3.064625351,2.87843745,3.101376145,2.843225747,2.419766441,2.01201313,2.241320706,2.395155991,2.172351776,2.031040441,2.335564444,2.669355389,2.332107422,2.049729949,1.817228021,1.880987337,1.949811765,1.78106672,1.650987929,1.411636363,1.325505329,1.205657577,1.202779176,1.386924101,1.103354925,1.146389313,1.132577119,1.040565528,0.934374188,0.850848055,0.856315166,0.786748968,0.707662369,0.69884989,0.638382936,0.586276992,0.608527078,0.688624424,0.71799403,0.704552987,0.68429229,0.759294272,0.662080991,0.676102651,0.711464364
Austria,AUT,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,7.154155729,7.071014419,6.197375464,5.784662353,5.442569028,5.654206184,5.585287749,5.266064621,4.607001705,4.509649227,5.115801457,5.404691296,4.076285293,4.022604241,3.768229554,3.540228196,3.611435009,3.842586409,3.769941379,3.802990263,3.783116516,3.848305882,3.673300817,3.494285447,3.546665501,3.601662298,3.48452874,3.14612637,2.989430916,2.900093745,2.740329247,2.979072568,3.197732583,2.540394578,2.537561904,2.438656238,2.718781161,2.636799448,2.364686443,2.444363743,2.372152023,2.219346458,2.187777211,2.286408922,2.240184028,2.074947785,2.191877087,2.3256172,2.243844245,2.152732317,2.237316001,2.208718201,2.239813579,2.18202318,1.93979869,1.951806355,1.814925773,1.845595569,
Azerbaijan,AZE,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.006844903,2.020561854,1.718732499,1.732222639,1.663156869,1.428352788,1.158151861,0.9513925,0.852554992,1.021420553,0.989562145,1.034319974,0.877630458,1.008350187,1.696798719,2.003149771,1.98749916,2.140625804,0.620241358,1.50115953,1.455873122,1.697924988,1.71808113,1.442730793,1.656358596,1.655367778
Burundi,BDI,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,3.988322994,,,,,,,,,5.231153932,5.174046746,3.98671634,,,,,,,,,,,,,,,,,2.089117742,1.679720584,1.933778882,1.683623431,2.33196225,1.471143748,2.224645495,2.403808101,2.53190324,2.455719136,1.306799972,1.144199573,1.354335466,1.047228805,0.901299335,1.585898363,1.364577739,1.442913207,0.747018069,0.943121212,1.023010196,0.698907413,1.320525778,1.727861979,1.811834957,1.714898826,1.748358551,1.606587135,
Belgium,BEL,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,10.23884412,9.423446801,9.51132328,8.1508184,7.485056702,6.581453725,6.188965441,5.913305448,5.052540487,4.412691498,4.521364098,4.815536449,4.143250515,3.313938384,3.654152451,3.356944392,3.124509419,3.126476561,2.806526331,2.673564364,2.587744879,2.811866629,2.969596766,2.909984559,2.730146729,2.776351485,,,,,,,,,,,,1.736709534,1.880225136,1.630566096,1.421598454,1.335539976,1.284878157,1.190841387,1.224147652,1.331055347,1.176693753,1.263509612,1.257628434,1.190624288,1.206602393,1.220107203,1.193184751,1.244283342,1.183522207,1.135014973,1.082291033,1.047905981,1.096647492,1.07847427
Benin,BEN,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,0.6836833,0.778385108,0.572436987,0.518009388,0.614959765,0.667971775,1.203841674,1.652287412,1.823376276,3.848155453,3.979294176,2.277109387,1.322152196,,,,,1.11087915,1.400322904,,0.643460593,,,,,,,,,,,,,,,,4.978593518,6.527887269,5.341530463,5.075621646,5.290091635,3.980121195,3.6647764,4.223390456,4.592419489,3.509660024,3.555234846,3.521152693,2.637300574,2.620918556,2.91450501,2.464227741,1.933630214,2.509697109,1.119036202,0.801161433,0.996251197,1.131902718,1.161203734,1.363045061
Burkina Faso,BFA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,6.97326886,12.08797043,9.457474959,9.968306284,9.026532974,7.124152449,7.88954195,5.887443221,4.773537011,4.379067449,1.21203966,1.601725839,1.265160263,1.666295487,1.930187884,1.849594265,1.308904956,1.831410377,1.58090959,1.719780829,1.830227151,2.080928694,,,,,,,,,,,,1.517696584,1.230998729,0.944067729,0.684898115,0.647464452,0.614683033,0.627917273,0.699339117,0.691059455,0.679473918,0.644397259,,0.703951209,0.739718247,0.680065973,0.742518826,0.661982732,0.492754533,0.442139118,0.489888059,0.462793668,0.518677726,0.437936717,0.40509698,0.479815685,0.476219212,
Bangladesh,BGD,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,3.820660197,11.89469361,5.273363641,5.928039142,6.920660228,5.347740854,7.322061126,6.860760891,5.153129492,3.95841585,3.69934149,,3.948580818,5.374359471,4.250814575,3.858723526,4.800682823,,3.367964077,4.293583928,5.314408653,5.388263285,,6.06528061,6.44575507,5.648043433,7.464855209,8.469707122,7.346708769,7.010495122,7.830695236,7.351799472,6.480203207,8.111120771,7.305614384,7.589858824,7.781248195,,6.41256931,,,,,,
Bulgaria,BGR,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81057691,,,,2.641133974,2.846036248,2.257354124,1.406420792,1.349259405,1.347829054,1.317504179,1.569638176,1.402232616,1.35240727,1.195795403,1.106019163,1.020747511,0.984491086,1.066127394,1.124058826,1.026161766,1.067980742,1.11062655,1.10040591,1.267616139,1.260479463,1.274785454,1.256292841,1.116436138,
