Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,BHR,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207767308,,,,,0.258373077,,,,,0.25591218,,,,,0.217027273,,,,,0.189936364,,,,,0.1551,,,,
"Bahamas, The",BHS,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3755,,,,,0.3896,,,,,0.4377,,,,,0.4009,,,,
Belarus,BLR,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9228,,,,,1.7846,,,,,1.6428,,,,,1.525333333,,,,,1.397,,,,
Belize,BLZ,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.035445513,,,,,0.075124835,,,,,0.101,,,,,0.101,,,,,0.101,,,,,0.101,,,,
Bermuda,BMU,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,1.537159091,,,,,1.834318182,,,,,1.998393939,,,,,2.073747475,,,,,2.088,,,,,2.088,,,,
Brazil,BRA,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04,,,,,46.05666667,,,,,55.15,,,,,56.75,,,,,62.22,,,,,69.8605,,,,,65.68,,,,
Barbados,BRB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,0.03,,,,,0.0375,,,,,0.045,,,,,0.0525,,,,,0.06,,,,,0.0675,,,,,0.075,,,,,0.081,,,,,0.081,,,,,0.07,,,,,0.07,,,,,0.07,,,,
Brunei Darussalam,BRN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081333333,,,,,0.092,,,,,0.092,,,,,0.092,,,,,0.092,,,,,0.092,,,,
Bhutan,BTN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3379,,,,,0.3379,,,,
Botswana,BWA,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09656,,,,,0.113,,,,,0.16364,,,,,0.194581818,,,,,0.196036364,,,,,0.1944,,,,,0.193,,,,
Central African Republic,CAF,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194,,,,,0.0374,,,,,0.0554,,,,,0.06872,,,,,0.0725,,,,,0.0725,,,,,0.0725,,,,
Canada,CAN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7786,,,,,44.515,,,,,42.12975455,,,,,41.72352727,,,,,41.3173,,,,,36.44,,,,,35.73,,,,
Central Europe and the Baltics,CEB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0247,,,,
Switzerland,CHE,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,2.5944,,,,,2.6118,,,,,2.66,,,,,2.695,,,,,2.5581,,,,,2.518,,,,,2.26125,,,,,2.0045,,,,,1.734,,,,
Channel Islands,CHI,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2852,,,,,25.69234286,,,,,31.08953571,,,,,35.368,,,,,35.368,,,,,35.368,,,,
China,CHN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,460.465,,,,,488.636,,,,,516.9333333,,,,,539.9714286,,,,,552.18,,,,,568.7,,,,,598.8,,,,,591.8,,,,
Cote d'Ivoire,CIV,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709,,,,,1.166,,,,,1.3204,,,,,1.46496,,,,,1.462111111,,,,,1.248044444,,,,,1.162,,,,
Cameroon,CMR,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,0.4,,,,,0.754,,,,,1.0152,,,,,1.0884,,,,,1.0884,,,,,1.0884,,,,
"Congo, Dem. Rep.",COD,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5193,,,,,0.6239,,,,,0.6836,,,,,0.6836,,,,,0.6836,,,,
"Congo, Rep.",COG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.042,,,,,0.044,,,,,0.046,,,,,0.046,,,,,0.046,,,,,0.046,,,,
Colombia,COL,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75125,,,,,11.264375,,,,,12.68245285,,,,,13.60190569,,,,
