Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua and Barbuda,ATG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,0.94096693,0.624374203,1.591971495,,12.25564028,5.926331172,,,0.338660502,,,,,,,,,,,,,,,,,,0.024076644,1.370528492,,,,,0.116769555,,2.539421238,,0,0,2.411467628,0.019184154,4.21995274,0.211223333,3.797655775,2.765440839,1.957664973,0,0.043236901,,
Australia,AUS,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,39.08782902,37.25198449,33.1901785,33.73775091,28.70362679,28.17703572,25.93667032,18.95416178,13.96053704,18.49075059,23.24879983,14.54511013,11.26250361,14.32547613,13.26988528,13.56045994,12.8646216,10.71161184,11.25690074,10.84038809,10.83847501,9.942111643,11.56734786,12.52203946,15.50249493,18.75342285,15.27788167,10.5178903,10.65631936,10.14325957,8.16595463,8.945095255,8.532496021,7.681348021,8.293436073,7.105342082,6.69019422,6.058121221,6.235404084,5.776309677,5.01490134,4.820928998,3.89836058,3.434431229,3.425970959,2.441952676,2.282876544,2.491043371,3.005694105,3.005310474,2.994705894,2.764930603,2.965317588,3.166924685,2.990205316,2.589287554,2.134787315,1.429036118,1.673354004
Austria,AUT,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,13.05582582,12.05658682,11.34802512,10.46018209,9.478038283,9.606057244,9.599105091,8.937739076,8.295934978,7.539193342,8.925747282,8.237118886,6.287752144,7.702976652,7.571274766,6.929249233,7.416617804,7.837632345,6.772211807,5.564244549,5.573891822,5.331068097,4.546599079,4.41557494,4.3827066,4.323225489,4.515660892,4.417079332,3.707751385,3.317116134,3.145781476,3.465909103,3.333016681,2.849673014,2.87970866,2.702803454,3.149920123,2.405102635,2.180441507,2.109157744,2.122315704,1.985814893,1.847664341,1.773146383,1.985232296,1.701525559,1.690966541,1.81434009,1.717734403,1.539657267,1.597743944,1.512205678,1.55834885,1.640450455,1.516522013,1.623917369,1.520802618,1.51947054,
Azerbaijan,AZE,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.346633772,15.82045852,9.112692573,2.832439053,2.377476406,0.845394774,1.259740665,1.508987631,1.145104731,1.033752471,0.70702642,0.623109717,0.042726416,0.148173494,0.056650221,0.05306518,0.082188774,0.087782958,0.080392411,0.104834273,0.160335751,0.295942682,0.440598186,0.665306825,1.029259524,1.00443364
Burundi,BDI,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,18.43044849,,,,,,,,,8.315711772,4.691889141,5.109952503,,,,,,,,,,,,,,,,,4.928179755,2.757026732,2.726110993,1.608296569,0.31290163,0.195993422,0.334089609,7.142575627,0.71577983,1.327897766,0.320237796,0.554081127,2.200428844,2.347087219,4.208359158,3.279254699,3.585219807,4.35703889,3.391347805,2.362981731,0.906211789,0.317841158,2.511336985,0.774417076,0.267791381,0.058789526,0.275604645,0.733730226,
Belgium,BEL,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,5.082300302,4.877484983,4.213513964,3.983953516,3.694003286,3.243435767,2.876121421,2.79396218,2.393435492,2.0999114,2.22088693,2.313543876,1.963609523,1.728889027,1.91519848,2.062456776,2.003607701,1.756995584,1.617988438,1.65583485,1.682252213,1.716632412,1.960252633,1.930949617,1.758624347,1.806972241,,,,,,,,,,,,1.375181367,1.522137702,1.306683099,1.211002077,1.236025406,1.22219896,1.247500708,1.265656249,1.313210833,1.266538864,1.281886378,1.398341964,1.396826902,1.389823253,1.397299888,1.351936822,1.355406043,1.250136785,1.183650561,1.209008217,1.232783042,1.219520263,1.204109258
Benin,BEN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,2.312579388,5.40128315,4.073391481,4.889006066,10.8476205,9.27714047,13.48930358,17.77289985,18.26036721,19.37302618,29.0869305,30.64634288,33.68997465,,,,,12.82848735,24.9571425,,12.40598066,,,,,,,,,,,,,,,,79.97289534,76.01766269,69.66676461,59.58808106,56.00388774,74.16684433,72.41365846,64.32519794,42.89777863,47.88128586,38.38992454,31.4117111,26.73841293,39.71549311,48.50274289,49.13521978,45.23362248,49.79935959,50.03361339,54.4213163,56.44639738,64.5573108,64.64380057,74.88080472
Burkina Faso,BFA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,3.816442148,10.51633906,13.75026942,10.82639253,12.92337778,20.9360906,19.20962763,30.97557041,27.56399993,21.21803639,23.35340756,26.20741134,19.83919744,18.60861427,48.58549168,43.20798302,36.77929833,37.8969619,47.67942132,45.28858604,45.27678999,55.94604123,,,,,,,,,,,,62.65444755,68.5891939,61.1408655,65.94591821,66.14632189,58.01957564,55.62643558,61.4660503,72.45269728,75.4446082,74.71595519,,66.81260696,41.95758661,31.5924815,17.54574043,11.67362868,13.08331808,17.8430766,18.92269809,13.72837518,16.9946141,13.07901512,9.828564271,10.8702465,6.030787526,
Bangladesh,BGD,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,27.85228111,22.43494241,21.17590802,18.69955194,16.4363359,15.6002802,15.45153337,15.26703259,13.28833092,13.36102747,8.60944878,,6.754306044,6.811230596,5.421778234,4.743527966,3.231172995,1.985140156,2.651085124,2.110665583,2.639737365,1.704319524,,1.4488005,0.986272757,1.033206778,0.935837715,1.257730754,1.715486009,1.642768395,3.123103433,1.535071573,1.542409161,1.948603358,1.753546573,1.393297593,1.051364119,,0.747182515,,,,,,
Bulgaria,BGR,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.023522343,3.104626733,3.82823567,2.983011859,2.740356298,2.405922058,2.347001697,2.30643284,2.093605322,1.778539022,1.706180429,1.678123258,1.168299354,0.934957691,1.377884802,1.320140487,1.338856464,1.286918522,1.453258616,1.361323579,1.211182815,1.213623296,1.304166331,1.169849434,0.951952987,
